Gene_ID,Major_splicing_variants,Seq_info,missing_seq_index
At3g28040,AT3G28040.1,Athaliana_17401,0
At3g56370,AT3G56370.1,Athaliana_17532,0
At4g36180,AT4G36180.1,Athaliana_397,0
At5g01890,AT5G01890.1,Athaliana_4929,0
At2g24230,AT2G24230.1,Athaliana_23203,0
At5g45800,AT5G45800.1,Athaliana_20725,0
At5g58150,AT5G58150.1,Athaliana_22656,0
At1g06840,AT1G06840.1,Athaliana_25104,0
At1g79620,AT1G79620.1,Athaliana_21758,0
At3g53590,AT3G53590.1,Athaliana_21280,0
At5g01950,AT5G01950.1,Athaliana_18282,0
At5g37450,AT5G37450.1,Athaliana_7656,0
At5g49760,AT5G49760.1,Athaliana_8341,0
At5g49770,AT5G49770.1,Athaliana_11605,0
At5g49780,AT5G49780.1,Athaliana_3380,0
At1g07655,#N/A,#N/A,#N/A
At1g16670,AT1G16670.1,#N/A,AT1G16670.1
At1g29720,AT1G29720.1,Athaliana_22464,0
At1g29730,AT1G29730.1,Athaliana_11046,0
At1g29740,AT1G29740.1,Athaliana_20567,0
At1g29750,AT1G29750.2,Athaliana_9197,0
At1g53420,AT1G53420.1,Athaliana_22128,0
At1g53430,AT1G53430.1,Athaliana_15007,0
At1g53440,AT1G53440.1,Athaliana_8305,0
At1g56120,AT1G56120.1,Athaliana_22197,0
At1g56130,AT1G56130.1,Athaliana_18918,0
At1g56140,AT1G56140.1,Athaliana_8242,0
At3g09010,AT3G09010.1,#N/A,AT3G09010.1
At3g14840,AT3G14840.2,Athaliana_12813,0
At1g27190,AT1G27190.1,Athaliana_24683,0
At1g69990,AT1G69990.1,Athaliana_4959,0
At3g28450,AT3G28450.1,Athaliana_755,0
At5g48380,AT5G48380.1,#N/A,AT5G48380.1
At1g55610,AT1G55610.1,Athaliana_14209,0
At1g72300,AT1G72300.1,Athaliana_25373,0
At1g74360,AT1G74360.1,Athaliana_19154,0
At2g01950,AT2G01950.1,Athaliana_22424,0
At2g02220,AT2G02220.1,Athaliana_16931,0
At3g13380,AT3G13380.1,Athaliana_7832,0
At4g39400,AT4G39400.1,Athaliana_2332,0
At5g07280,AT5G07280.1,Athaliana_5346,0
