Gene_ID,Major_splicing_variants,Seq_info,missing_seq_index
At3g59730,AT3G59730.1,#N/A,AT3G59730.1
At3g59740,AT3G59740.1,#N/A,AT3G59740.1
At3g59750,AT3G59750.1,#N/A,AT3G59750.1
At4g02410,AT4G02410.1,#N/A,AT4G02410.1
At4g02420,AT4G02420.1,#N/A,AT4G02420.1
At4g04960,AT4G04960.1,#N/A,AT4G04960.1
At4g28350,AT4G28350.1,#N/A,AT4G28350.1
At4g29050,AT4G29050.1,#N/A,AT4G29050.1
At5g01540,AT5G01540.1,#N/A,AT5G01540.1
At5g01550,AT5G01550.1,#N/A,AT5G01550.1
At5g01560,AT5G01560.1,#N/A,AT5G01560.1
At5g03140,AT5G03140.1,#N/A,AT5G03140.1
At5g06740,AT5G06740.1,#N/A,AT5G06740.1
At5g10530,AT5G10530.1,#N/A,AT5G10530.1
At5g42120,AT5G42120.1,#N/A,AT5G42120.1
At5g55830,AT5G55830.1,#N/A,AT5G55830.1
At5g59260,AT5G59260.1,#N/A,AT5G59260.1
At5g59270,AT5G59270.1,#N/A,AT5G59270.1
At5g60270,AT5G60270.1,#N/A,AT5G60270.1
At5g60280,AT5G60280.1,#N/A,AT5G60280.1
At5g60300,AT5G60300.1,#N/A,AT5G60300.1
At5g60310,AT5G60310.1,#N/A,AT5G60310.1
At5g60320,AT5G60320.1,#N/A,AT5G60320.1
At5g65600,AT5G65600.1,#N/A,AT5G65600.1
At1g66910,AT1G66910.1,#N/A,AT1G66910.1
At1g66920,AT1G66920.1,#N/A,AT1G66920.1
At1g66930,AT1G66930.1,#N/A,AT1G66930.1
At1g66980,AT1G66980.1,#N/A,AT1G66980.1
At1g67000,AT1G67000.1,#N/A,AT1G67000.1
At1g70250,AT1G70250.1,#N/A,AT1G70250.1
At4g18250,AT4G18250.1,#N/A,AT4G18250.1
At5g38240,AT5G38240.1,#N/A,AT5G38240.1
At5g38250,AT5G38250.1,#N/A,AT5G38250.1
At5g38260,AT5G38260.1,#N/A,AT5G38260.1
At5g38280,AT5G38280.1,#N/A,AT5G38280.1
At5g39020,AT5G39020.1,#N/A,AT5G39020.1
At5g39030,AT5G39030.1,#N/A,AT5G39030.1
At1g05700,AT1G05700.1,Athaliana_1154,0
At1g07550,AT1G07550.1,Athaliana_27025,0
At1g07560,AT1G07560.1,Athaliana_16558,0
At1g49100,AT1G49100.1,Athaliana_5774,0
At1g51620,AT1G51620.1,#N/A,AT1G51620.1
At1g51790,AT1G51790.1,Athaliana_11327,0
At1g51800,AT1G51800.1,Athaliana_21980,0
At1g51810,AT1G51810.1,Athaliana_2903,0
At1g51820,AT1G51820.1,Athaliana_8090,0
At1g51830,AT1G51830.1,Athaliana_4683,0
At1g51850,AT1G51850.1,Athaliana_18381,0
At1g51860,AT1G51860.1,Athaliana_20225,0
At1g51870,AT1G51870.1,#N/A,AT1G51870.1
At1g51880,AT1G51880.1,#N/A,AT1G51880.1
At1g51890,AT1G51890.1,Athaliana_6201,0
At1g51910,AT1G51910.1,#N/A,AT1G51910.1
At1g62090,#N/A,#N/A,#N/A
At2g04300,AT2G04300.1,Athaliana_22610,0
At2g14440,AT2G14440.1,#N/A,AT2G14440.1
At2g14510,AT2G14510.1,#N/A,AT2G14510.1
At2g19190,AT2G19190.1,Athaliana_25951,0
At2g19210,AT2G19210.1,Athaliana_18002,0
At2g19230,AT2G19230.1,Athaliana_703,0
