wt_0h,wt_2h,arm2db-14_0h,arm2db-14_2h,arm2db-19_0h,arm2db-19_2h,flg22_0h,flg22_2h
0.977159968,26.32925439,0.941696017,27.00699892,,,0.961483052,72.76947152
0.997692177,25.78740617,1.002313162,27.38400258,,,0.948246031,71.7676327
1.025741121,25.60927954,1.059463094,26.26849112,,,1.09682498,70.29067618
0.870550563,26.20786808,,,1.035264924,27.32080514,1.01161944,71.43676088
1.101905116,26.02683711,,,1.028113827,27.13208655,0.997692177,72.4339809
1.042465761,25.31513188,,,0.939522749,27.13208655,0.990800613,71.93364285
,,,,,,,
1.03049202,22.83750807,1.25411241,24.19549696,,,1.127660927,79.52482205
0.974904856,22.9963555,0.804780172,24.02836646,,,0.848703971,81.1958076
0.995389679,21.01479289,0.990800613,23.37130951,,,1.044877153,77.88822487
0,22.08507765,,,1.180992661,24.42014734,1.091768265,59.99068778
1.010451446,22.23869152,,,0.77916458,24.25146506,1.025741121,60.82812657
0.989656656,21.48116004,,,1.086734863,24.93326655,0.892959511,60.82812657
