wt_0h,wt_2h,arm1b-1_0h,arm1b-1_2h,arm1b-2_0h,arm1b-2_2h,flg22_0h,flg22_2h
0.897095409,27.9220572,,,1.325619442,27.98664544,0.897095409,61.10986265
0.831237896,27.9220572,,,0.761368436,27.03331756,0.831237896,63.2648973
1.341022398,27.53764599,,,0.990800613,26.47697993,1.341022398,61.10986265
,,,,,,,
1.15135548,36.33614173,,,1.047294123,37.96680432,1.016304932,71.17670949
0.91594529,35.58835475,,,1.032875715,33.28191788,0.961483052,74.19928262
0.948246031,34.13863177,,,0.92444966,31.92614965,1.023373892,72.17029933
,,,,,,,
1.016304932,34.37608474,0.743978757,29.31024929,,,0.611320139,86.22294892
0.698984967,36.08514967,1.208597056,29.51411819,,,1.248330549,86.22294892
1.407693584,32.29711364,1.112136086,30.13427256,,,1.310393404,85.62736351
,,,,,,,
0.907519155,36.70925435,1.104454001,34.80940474,,,,
1.042465761,40.17070581,0.974904856,35.29532593,,,,
1.057018041,34.72907078,0.92873141,31.59020159,,,,
