wt_0h,wt_2h,arm1a-1_0h,arm1a-1_2h,arm1a-2_0h,arm1a-2_2h,flg22_0h,flg22_2h
0.73883972,23.5931955,,,0.750886452,17.19160411,1.01395948,94.15498627
1.081724666,23.92254423,,,1.25411241,18.17183569,0.993092495,96.13338268
1.251218139,23.92254423,,,1.061913804,16.72149879,0.993092495,97.47535469
,,,,,,,
1.026,19.715,1.005,26.746,,,0.953,68.811
0.977,19.715,0.977,24.782,,,1.102,66.008
0.998,18.912,1.019,26.561,,,0.953,70.257
,,,,,,,
0,22.27,0.991,18.405,,,0.964,73.96
1.046,23.055,1.237,17.292,,,0.937,86.143
0.956,20.923,0.816,14.743,,,1.107,77.101
,,,,,,,
0.897,27.922,,,1.326,27.987,0.897,61.11
0.831,27.922,,,0.761,27.033,0.831,63.265
1.341,27.538,,,0.991,26.477,1.341,61.11
