Gene,Batch_name
AT1G11340,AT1G11340
AT1G65790,ARK1
AT1G61490,AT1G61490
AT1G61500,AT1G61500
AT1G61420,AT1G61420
AT1G61390,AT1G61390
AT1G61460,AT1G61460
AT4G00340,RLK4
AT3G59740,AT3G59740
AT3G59750,AT3G59750
AT1G70130,AT1G70130
AT1G70110,AT1G70110
AT2G21480,Y2214
AT4G39110,AT4G39110
AT5G39030,Y5393
AT1G17910,AT1G17910
AT1G61480,AT1G61480
AT1G61550,AT1G61550
AT1G61430,AT1G61430
AT1G61400,AT1G61400
AT1G61440,AT1G61440
AT1G61370,AT1G61370
AT1G61380,SD1-29
AT1G61360,AT1G61360
AT4G11900,AT4G11900
AT2G19130,AT2G19130
AT4G32300,SD2-5
AT1G34300,AT1G34300
AT5G35370,AT5G35370
AT3G59700,ATHLECRK
AT3G59730,AT3G59730
AT2G43700,AT2G43700
AT2G43690,AT2G43690
AT4G29050,AT4G29050
AT2G37710,AT2G37710
AT4G02410,AT4G02410
AT5G48380,BIR1
AT1G27190,BIR3
AT1G69990,BIR4
AT1G31420,FEI1
AT2G35620,FEI2
AT3G56100,MRLK
AT5G16000,NIK1
AT3G25560,NIK2
AT1G60800,NIK3
AT5G35390,PRK1
AT3G42880,PRK3
AT3G20190,PRK4
AT1G50610,PRK5
AT5G20690,PRK6
AT5G60900,RKL1
AT3G17840,RLK902
AT5G63710,AT5G63710
AT1G09970,SENE
AT1G71830,SERK1
AT1G34210,SERK2
AT2G13790,SERK4
AT2G13800,SERK5
AT4G33430,BAK1
AT4G39400,BRI1
AT5G53890,PSKR2
AT5G62230,ERL1
AT1G73080,PEPR1
AT1G17750,PEPR2
AT5G65710,HSL2
AT5G20480,EFR
AT1G72300,PSY1R
AT2G02220,PSKR1
AT2G26330,ERECTA
AT3G13380,BRL3
AT5G07180,ERL2
AT1G55610,BRL1
AT4G20140,GSO1
AT2G01950,BRL2
AT4G28490,HAESA
AT1G75820,CLV1
AT4G20270,BAM3
AT5G44700,GSO2/EDA23
AT5G65700,BAM1
AT3G49670,BAM2
AT2G19190,FRK1
AT1G70520,ASG6
AT4G03230,AT4G03230
AT1G11410,AT1G11410
AT1G65800,ARK2
AT4G21380,ARK3
AT1G11300,AT1G11300
AT1G11330,AT1G11330
AT1G11350,CBRLK1
AT4G21390,B120
AT1G61610,AT1G61610
AT3G16030,CES101
AT1G69040,ACR4
AT2G39180,CRR2
AT3G09780,CRR1
AT5G47850,CCR4
AT3G55950,CRR3
AT1G17250,RLP3
AT1G17240,RLP2
AT5G65830,RLP57
AT3G49750,RLP44
AT1G58190,RLP9
AT3G53240,RLP45
AT2G31880,SOBIR1/EVERSHED
AT2G20850,SRF1
AT3G02880,AT3G02880
AT5G06820,SRF2
AT4G03390,SRF3
