Gene,Protein,Symbols,Batch_Symbol
AT1G49100,AT1G49100.1,,AT1G49100
AT3G21340,AT3G21340.1,,AT3G21340
AT2G04300,AT2G04300.2,,AT2G04300
AT1G51805,AT1G51805.1,,AT1G51805
AT1G51850,AT1G51850.2,,AT1G51850
AT1G51820,AT1G51820.1,,AT1G51820
AT2G28970,AT2G28970.1,,AT2G28970
AT2G28990,AT2G28990.1,,AT2G28990
AT1G51810,AT1G51810.1,,AT1G51810
AT3G46370,AT3G46370.2,,AT3G46370
AT1G51830,AT1G51830.2,,AT1G51830
AT1G28340,AT1G28340.1,"AtRLP4, RLP4",RLP4
AT5G38210,AT5G38210.1,,AT5G38210
AT1G18390,AT1G18390.1,,AT1G18390
AT4G18250,AT4G18250.1,,AT4G18250
AT4G23290,AT4G23290.2,CRK21,CRK21
AT5G38240,AT5G38240.1,,AT5G38240
AT5G38250,AT5G38250.1,,AT5G38250
AT1G66920,AT1G66920.1,,AT1G66920
AT1G66980,AT1G66980.1,SNC4,AT1G66980
AT3G02130,AT3G02130.1,"RPK2, TOAD2, CLI1",RPK2
AT5G63710,AT5G63710.3,,AT5G63710
AT5G37450,AT5G37450.2,,AT5G37450
AT3G53590,AT3G53590.1,,AT3G53590
AT5G01950,AT5G01950.7,,AT5G01950
AT1G06840,AT1G06840.1,,AT1G06840
AT5G10290,AT5G10290.2,,
AT5G65240,AT5G65240.2,,
AT5G16000,AT5G16000.1,NIK1,NIK1
AT3G25560,AT3G25560.3,NIK2,NIK2
AT4G30520,AT4G30520.1,,
AT2G23950,AT2G23950.1,,AT2G23950
AT1G60800,AT1G60800.1,NIK3,NIK3
AT5G45780,AT5G45780.1,,
AT1G71830,AT1G71830.1,"SERK1, ATSERK1",SERK1
AT1G34210,AT1G34210.2,,SERK2
AT2G13800,AT2G13800.3,,SERK5
AT2G13790,AT2G13790.1,"ATSERK4, SERK4, BKK1, BAK7",SERK4
AT4G33430,AT4G33430.2,BAK1,BAK1
AT4G18760,AT4G18760.1,"AtRLP51, RLP51",RLP51
AT5G10020,AT5G10020.1,,AT5G10020
AT4G20940,AT4G20940.1,,GHR1
AT2G27060,AT2G27060.1,,FIR
AT2G02220,AT2G02220.1,"ATPSKR1, PSKR1",PSKR1
AT5G53890,AT5G53890.1,"PSKR2, AtPSKR2",PSKR2
AT1G17250,AT1G17250.1,"AtRLP3, RLP3",RLP3
AT1G72300,AT1G72300.1,,PSY1R
AT1G17240,AT1G17240.2,,RLP2
AT5G58150,AT5G58150.1,,AT5G58150
AT2G24230,AT2G24230.1,,AT2G24230
AT3G28040,AT3G28040.1,,AT3G28040
AT3G56370,AT3G56370.1,,AT3G56370
AT5G01890,AT5G01890.1,,PXC2
AT4G08850,AT4G08850.1,,AT4G08850
AT1G35710,AT1G35710.1,,AT1G35710
AT2G25790,AT2G25790.1,,SKM1
AT1G17230,AT1G17230.2,,AT1G17230
AT2G33170,AT2G33170.2,,AT2G33170
AT5G63930,AT5G63930.1,,AT5G63930
AT1G34110,AT1G34110.1,,RGI5
AT5G56040,AT5G56040.2,,SKM2
AT5G48940,AT5G48940.1,,AT5G48940
AT3G24240,AT3G24240.1,,RGFR1
AT1G17750,AT1G17750.1,"PEPR2, AtPEPR2",PEPR2
AT1G73080,AT1G73080.1,"PEPR1, ATPEPR1",PEPR1
AT4G20270,AT4G20270.1,BAM3,BAM3
AT1G75820,AT1G75820.1,"CLV1, FAS3, FLO5, ATCLV1",CLV1
AT5G65700,AT5G65700.2,,BAM1
AT3G49670,AT3G49670.1,BAM2,BAM2
AT1G08590,AT1G08590.1,,AT1G08590
AT4G28650,AT4G28650.1,,AT4G28650
AT5G51350,AT5G51350.1,,AT5G51350
AT5G61480,AT5G61480.1,PXY,PXY
AT5G06940,AT5G06940.1,,AT5G06940
AT1G72180,AT1G72180.1,,
AT5G65710,AT5G65710.1,HSL2,HSL2
AT1G28440,AT1G28440.1,HSL1,AT1G28440
AT4G28490,AT4G28490.1,"RLK5, HAE",HAESA
AT5G49660,AT5G49660.1,,XIP1
AT4G26540,AT4G26540.1,,AT4G26540
AT5G07280,AT5G07280.1,"EMS1, EXS",EMS1
AT2G24130,AT2G24130.2,,AT2G24130
AT1G67510,AT1G67510.1,,AT1G67510
AT1G66830,AT1G66830.1,,AT1G66830
AT2G01210,AT2G01210.1,,AT2G01210
AT1G25320,AT1G25320.1,,AT1G25320
AT5G46330,AT5G46330.2,,
AT4G20140,AT4G20140.1,GSO1,GSO1
AT5G44700,AT5G44700.1,"EDA23, GSO2",GSO2/EDA23
AT2G26330,AT2G26330.1,"ER, QRP1",ERECTA
AT5G62230,AT5G62230.1,ERL1,ERL1
AT5G07180,AT5G07180.1,ERL2,ERL2
AT1G34420,AT1G34420.1,,AT1G34420
AT2G41820,AT2G41820.1,,
AT1G62950,AT1G62950.1,,AT1G62950
AT1G12460,AT1G12460.1,,AT1G12460
AT1G07390,AT1G07390.3,"AtRLP1, RLP1",
AT3G53240,AT3G53240.2,,RLP45
AT1G58190,AT1G58190.2,RLP9,RLP9
AT1G74170,AT1G74170.2,,
AT1G74190,AT1G74190.1,"AtRLP15, RLP15",
AT2G25470,AT2G25470.3,,
AT5G49290,AT5G49290.2,,
AT1G74180,AT1G74180.1,"AtRLP14, RLP14",RLP14/TMM
AT3G56100,AT3G56100.1,"MRLK, IMK3",MRLK
AT3G51740,AT3G51740.1,IMK2,IMK2
AT4G04220,AT4G04220.1,"AtRLP46, RLP46",RLP46
AT4G13920,AT4G13920.1,"AtRLP50, RLP50",RLP50
AT4G13880,AT4G13880.1,"AtRLP48, RLP48",
AT4G13810,AT4G13810.2,,
At4g13900,At4g13900.1,,
AT5G40170,AT5G40170.1,"AtRLP54, RLP54",
AT2G33080,AT2G33080.1,"AtRLP28, RLP28",RLP28
AT3G24900,AT3G24900.2,,
AT3G25010,AT3G25010.2,,RLP41
AT3G24982,AT3G24982.1,"ATRLP40, RLP40",RLP40
AT3G25020,AT3G25020.1,"AtRLP42, RLP42",RLP42
AT2G32680,AT2G32680.1,"AtRLP23, RLP23",RLP23
AT2G33020,AT2G33020.1,"AtRLP24, RLP24",
AT2G33060,AT2G33060.1,"AtRLP27, RLP27",RLP27
AT2G33050,AT2G33050.1,"AtRLP26, RLP26",RLP26
AT2G25440,AT2G25440.1,"AtRLP20, RLP20",RLP20
AT2G32660,AT2G32660.2,,RLP22
AT1G71400,AT1G71400.1,"AtRLP12, RLP12",RLP11
AT1G71390,AT1G71390.2,,RLP12
AT3G05360,AT3G05360.1,"AtRLP30, RLP30",RLP30
AT3G05370,AT3G05370.1,"AtRLP31, RLP31",RLP31
AT3G23010,AT3G23010.1,"AtRLP36, RLP36",RLP36
AT3G23110,AT3G23110.1,"AtRLP37, RLP37",RLP37
AT3G23120,AT3G23120.1,"AtRLP38, RLP38",RLP38
AT1G47890,AT1G47890.1,"AtRLP7, RLP7",
AT1G45616,AT1G45616.1,"AtRLP6, RLP6",RLP6
AT5G25910,AT5G25910.1,"AtRLP52, RLP52",
AT2G15080,AT2G15080.2,,RLP19
AT3G05660,AT3G05660.1,"AtRLP33, RLP33",RLP33
AT3G05650,AT3G05650.1,"AtRLP32, RLP32",RLP32
AT3G11080,AT3G11080.2,,RLP35
AT3G11010,AT3G11010.2,,RLP34
AT5G27060,AT5G27060.2,,RLP53
AT3G28890,AT3G28890.2,,
AT5G53320,AT5G53320.1,,
AT4G39400,AT4G39400.1,"BRI1, CBB2, DWF2, BIN1, ATBRI1",BRI1
AT3G47580,AT3G47580.1,,AT3G47580
AT5G25930,AT5G25930.1,,AT5G25930
AT3G24660,AT3G24660.1,TMKL1,TMKL1
AT3G19700,AT3G19700.1,IKU2,IKU2
AT1G09970,AT1G09970.2,"LRR XI-23, RLK7",SENE
AT1G74360,AT1G74360.1,,AT1G74360
AT2G42800,AT2G42800.1,"AtRLP29, RLP29",RLP29
AT1G80080,AT1G80080.1,"TMM, AtRLP17",RLP17 
AT2G16250,AT2G16250.1,,AT2G16250
AT4G39270,AT4G39270.1,,AT4G39270
AT5G24080,AT5G24080.1,,
AT5G63410,AT5G63410.1,,AT5G63410
AT5G14210,AT5G14210.2,,AT5G14210
AT3G03770,AT3G03770.3,,
AT2G02780,AT2G02780.1,,AT2G02780
AT1G14390,AT1G14390.1,,AT1G14390
AT3G23750,AT3G23750.1,,
AT1G24650,AT1G24650.1,,AT1G24650
AT2G01820,AT2G01820.1,,AT2G01820
AT1G66150,AT1G66150.1,TMK1,TMK1
AT2G31880,AT2G31880.1,"SOBIR1, EVR",SOBIR1/EVERSHED
AT1G69270,AT1G69270.1,RPK1,
AT5G07150,AT5G07150.1,,AT5G07150
AT4G18640,AT4G18640.1,MRH1,
AT5G45840,AT5G45840.1,,AT5G45840
AT5G41180,AT5G41180.1,,
AT1G63430,AT1G63430.2,,AT1G63430
AT1G34290,AT1G34290.1,"AtRLP5, RLP5",RLP5
AT2G01950,AT2G01950.1,"VH1, BRL2",BRL2
AT1G55610,AT1G55610.2,,BRL1
AT3G13380,AT3G13380.1,BRL3,BRL3
AT3G28450,AT3G28450.1,,
AT1G27190,AT1G27190.1,,BIR3
AT1G69990,AT1G69990.1,,BIR4
AT5G48380,AT5G48380.1,BIR1,BIR1
AT4G22730,AT4G22730.1,,AT4G22730
AT2G45340,AT2G45340.1,,AT2G45340
AT5G51560,AT5G51560.1,,
AT1G65380,AT1G65380.1,"CLV2, AtRLP10",RLP10/CLV2
AT5G65830,AT5G65830.1,"ATRLP57, RLP57",RLP57
AT3G49750,AT3G49750.1,"AtRLP44, RLP44",RLP44
AT2G15300,AT2G15300.1,,AT2G15300
AT4G34220,AT4G34220.1,,AT4G34220
AT5G67280,AT5G67280.1,RLK,
AT2G23300,AT2G23300.1,,AT2G23300
AT4G37250,AT4G37250.1,,
AT5G24100,AT5G24100.1,,
AT1G64210,AT1G64210.1,,AT1G64210
AT4G23740,AT4G23740.2,,
AT3G08680,AT3G08680.2,,
AT5G05160,AT5G05160.1,,
AT5G58300,AT5G58300.3,,
AT2G26730,AT2G26730.1,,
AT1G48480,AT1G48480.1,RKL1,
AT3G17840,AT3G17840.1,RLK902,RLK902
AT3G02880,AT3G02880.1,,AT3G02880
AT5G16590,AT5G16590.1,LRR1,
AT2G35620,AT2G35620.4,,FEI2
AT1G31420,AT1G31420.3,,FEI1
AT3G47570,AT3G47570.1,,AT3G47570
AT3G47090,AT3G47090.1,,AT3G47090
AT3G47110,AT3G47110.1,,AT3G47110
AT5G20480,AT5G20480.2,,EFR
AT5G62710,AT5G62710.1,,
AT3G42880,AT3G42880.1,,PRK3
AT5G20690,AT5G20690.1,,PRK6
AT1G72460,AT1G72460.1,,AT1G72460
AT4G31250,AT4G31250.1,,AT4G31250
AT2G07040,AT2G07040.1,"ATPRK2A, PRK2A",
AT5G35390,AT5G35390.1,,PRK1
AT3G20190,AT3G20190.1,,PRK4
AT1G50610,AT1G50610.1,,PRK5
AT5G43020,AT5G43020.1,,
AT5G67200,AT5G67200.1,,AT5G67200
AT3G50230,AT3G50230.2,,
AT1G68400,AT1G68400.1,,AT1G68400
AT1G10850,AT1G10850.1,,AT1G10850
AT1G60630,AT1G60630.1,,AT1G60630
AT2G42290,AT2G42290.1,,AT2G42290
AT3G57830,AT3G57830.3,,
AT1G75640,AT1G75640.1,,MUS
AT4G36180,AT4G36180.1,,AT4G36180
AT5G39390,AT5G39390.1,,
AT2G36570,AT2G36570.1,,
AT1G11130,AT1G11130.1,"SUB, SCM, SRF9",SRF9
AT4G03390,AT4G03390.1,SRF3,SRF3
AT2G20850,AT2G20850.1,SRF1,SRF1
AT1G78980,AT1G78980.1,SRF5,SRF5
AT3G13065,AT3G13065.1,SRF4,
AT3G14350,AT3G14350.1,SRF7,SRF7
AT1G53730,AT1G53730.2,SRF6,SRF6
AT4G22130,AT4G22130.1,SRF8,SRF8
AT5G06820,AT5G06820.1,SRF2,SRF2
AT1G79620,AT1G79620.5,,VRLK1
AT5G49770,AT5G49770.1,,AT5G49770
AT5G49780,AT5G49780.2,,AT5G49780
AT5G49760,AT5G49760.1,,AT5G49760
AT5G45800,AT5G45800.1,MEE62,
AT1G56145,AT1G56145.2,,AT1G56145
AT1G56120,AT1G56120.1,,AT1G56120
AT1G56130,AT1G56130.2,,AT1G56130
AT1G56140,AT1G56140.1,,AT1G56140
AT1G29750,AT1G29750.2,RKF1,RKF1
AT1G29720,AT1G29720.1,,AT1G29720
AT1G29730,AT1G29730.2,,AT1G29730
AT1G29740,AT1G29740.1,,AT1G29740
AT1G53430,AT1G53430.1,,NILR2
AT1G53440,AT1G53440.1,,AT1G53440
AT1G07650,AT1G07650.2,,LMK1
AT3G14840,AT3G14840.2,,
AT1G53420,AT1G53420.1,,AT1G53420
AT3G01840,AT3G01840.1,,LYK2
AT5G24010,AT5G24010.1,,AT5g24010
AT2G23200,AT2G23200.1,,At2G23200
AT3G51550,AT3G51550.1,FER,
AT3G04690,AT3G04690.1,ANX1,ANX1
AT5G28680,AT5G28680.1,ANX2,ANX2
AT5G39030,AT5G39030.1,,Y5393
AT5G39020,AT5G39020.1,,
AT5G38990,AT5G38990.1,,
AT5G39000,AT5G39000.1,,
AT1G69910,AT1G69910.1,,AT1G69910
AT2G39360,AT2G39360.1,,
AT3G46290,AT3G46290.1,HERK1,HERK1
AT5G59700,AT5G59700.1,,
AT5G54380,AT5G54380.1,THE1,THE1
AT5G61350,AT5G61350.1,,
AT1G34300,AT1G34300.1,,AT1G34300
AT1G15530,AT1G15530.1,,AT1G15530
AT1G49730,AT1G49730.1,,AT1G49730
AT3G19300,AT3G19300.1,,AT3G19300
AT5G06740,AT5G06740.1,,AT5G06740
AT4G23310,AT4G23310.1,CRK23,CRK23
AT2G20300,AT2G20300.1,ALE2,AT2G20300
AT1G52290,AT1G52290.1,,PERK15
AT5G48740,AT5G48740.1,,AT5G48740
AT1G70250,AT1G70250.1,,AT1G70250
AT2G40270,AT2G40270.1,,
AT3G56050,AT3G56050.1,,
AT5G58540,AT5G58540.1,,
AT3G24540,AT3G24540.1,,
AT5G56890,AT5G56890.1,,AT5G56890
AT1G26150,AT1G26150.1,"ATPERK10, PERK10",PERK10
AT1G68690,AT1G68690.1,,PERK9
AT3G24550,AT3G24550.1,"ATPERK1, PERK1",PERK1
AT5G38560,AT5G38560.1,,PERK8
AT1G70460,AT1G70460.1,RHS10,PERK13
AT1G23540,AT1G23540.1,"IGI1, AtPERK12",PERK12
AT4G34440,AT4G34440.1,,PERK5
AT2G18470,AT2G18470.1,PERK4,PERK4
AT1G10620,AT1G10620.1,,PERK11
AT3G18810,AT3G18810.1,,PERK6
AT1G49270,AT1G49270.1,,PERK7
AT1G66880,AT1G66880.1,,AT1G66880
AT1G70520,AT1G70520.1,CRK2,ASG6
AT5G38280,AT5G38280.1,PR5K,AT5G38280
AT4G23230,AT4G23230.1,CRK15,CRK15
AT1G51940,AT1G51940.1,,LYK3
AT4G23320,AT4G23320.1,CRK24,CRK24
AT4G23250,AT4G23250.1,"EMB1290, DUF26-21, RKC1, CRK17",CRK17
AT5G59270,AT5G59270.1,,
AT4G23200,AT4G23200.1,CRK12,CRK12
AT3G21630,AT3G21630.1,"CERK1, LYSM RLK1",
AT2G23770,AT2G23770.1,,LYK4
AT2G33580,AT2G33580.1,,LYK5
AT3G59420,AT3G59420.1,"ACR4, CR4",
AT4G00970,AT4G00970.1,CRK41,CRK41
AT4G23130,AT4G23130.2,"CRK5, RLK6",CRK5
AT4G23140,AT4G23140.2,CRK6,CRK6
AT4G23180,AT4G23180.1,"CRK10, RLK4",CRK10
AT4G23150,AT4G23150.1,CRK7,CRK7
AT4G23280,AT4G23280.1,CRK20,CRK20
AT4G23270,AT4G23270.1,CRK19,CRK19
AT4G23160,AT4G23160.1,CRK8,
AT4G21400,AT4G21400.1,CRK28,CRK28
AT4G21410,AT4G21410.1,CRK29,CRK29
AT4G23190,AT4G23190.1,"CRK11, AT-RLK3",RLK3
AT4G11490,AT4G11490.1,CRK33,CRK33
AT4G23220,AT4G23220.1,CRK14,CRK14
AT4G11480,AT4G11480.1,CRK32,CRK32
AT4G23300,AT4G23300.1,CRK22,CRK22
AT4G23210,AT4G23210.1,,CRK13
AT4G23260,AT4G23260.1,CRK18,CRK18
AT4G11460,AT4G11460.1,CRK30,CRK30
AT4G11530,AT4G11530.1,CRK34,CRK34
AT4G11470,AT4G11470.1,CRK31,CRK31
AT4G04500,AT4G04500.1,CRK37,CRK37
AT4G04510,AT4G04510.1,CRK38,CRK38
AT4G04540,AT4G04540.1,CRK39,CRK39
AT4G04570,AT4G04570.1,CRK40,CRK40
AT4G04490,AT4G04490.1,CRK36,CRK36
AT4G38830,AT4G38830.1,CRK26,CRK26
AT4G05200,AT4G05200.1,CRK25,CRK25
AT3G45860,AT3G45860.1,CRK4,CRK4
AT4G28670,AT4G28670.1,,AT4G28670
AT1G70530,AT1G70530.1,CRK3,CRK3
AT5G40380,AT5G40380.1,CRK42,CRK42
AT4G21230,AT4G21230.1,CRK27,CRK27
