Gene,Expression_Symbol
AT4G36180,0
AT5G01890,PXC2
AT2G24230,0
AT5G45800,MEE62
AT5G58150,0
AT1G06840,0
AT1G79620,0
AT3G53590,0
AT5G01950,0
AT5G37450,0
AT5G49760,CARD1/HPCA1
AT5G49770,0
AT5G49780,0
AT1G07655,#N/A
AT1G16670,#N/A
AT1G29720,0
AT1G29730,0
AT1G29740,0
AT1G29750,RKF1
AT1G53420,0
AT1G53430,0
AT1G53440,0
AT1G56120,IGP2
AT1G56130,IGP3
AT1G56140,IGP4
AT3G09010,#N/A
AT3G14840,AtLIK1
AT1G27190,BIR3
AT1G69990,BIR4
AT3G28450,BIR2
AT5G48380,BIR1
AT1G55610,BRL1
AT1G72300,PSYR
AT1G74360,GRACE
AT2G01950,VH1/VRL2
AT2G02220,PSKR1
AT3G13380,BRL3
AT4G39400,BRI1/CBB2/DWF2/BIN1
AT5G07280,EMS1/EXS
AT5G42440,#N/A
AT5G53890,PSKR2
AT1G34420,0
AT2G41820,PXC3
AT1G08590,0
AT1G09970,LRRXI23/RLK7/KUK2
AT1G17230,0
AT1G17750,PEPR2
AT1G28440,HSL1
AT1G34110,RGI5
AT1G72180,CEPR2
AT1G73080,PEPR1
AT1G75820,CLV1/FAS3/FLO5
AT2G33170,0
AT3G19700,IKU2
AT3G24240,RGFR1/RGI1
AT3G49670,BAM2
AT4G20140,GSO1
AT4G20270,BAM3
AT4G26540,RGFR3/RGI3
AT4G28490,RLK5/HAESA
AT4G28650,MIK1/PXL2
AT5G44700,EDA23/GSO2
AT5G48940,RGFR2/RCH1/RGI2
AT5G49660,CEPR1/XIP1
AT5G56040,RGI4/SKM2
AT5G61480,PXY
AT5G63930,0
AT5G65700,BAM1
AT5G65710,HSL2
AT2G24130,0
AT3G47090,0
AT3G47110,XPS1
AT3G47570,XA21
AT3G47580,0
AT5G20480,EFR
AT5G39390,0
AT5G46330,FLS2
AT1G35710,0
AT4G08850,MIK2/
AT1G31420,FEI1
AT1G78530,#N/A
AT2G35620,FEI2
AT5G62710,0
AT2G26330,ERECTA/QRP1
AT5G07180,ERL2
AT5G62230,ERL1
AT2G16250,ARM3
AT4G39270,ARM3L
AT5G51350,MOL1
AT1G69270,RPK1
AT3G02130,RPK2/TOAD2/CLI1
AT5G25930,0
AT1G51940,#N/A
AT3G21630,#N/A
AT2G23770,#N/A
AT2G33580,#N/A
AT2G31880,SOBIR1/EVR
AT2G46850,#N/A
AT3G01840,#N/A
AT3G57120,#N/A
AT5G06940,0
AT5G13290,#N/A
AT1G10620,#N/A
AT1G23540,#N/A
AT1G26150,#N/A
AT1G49270,#N/A
AT1G52290,#N/A
AT1G55200,#N/A
AT1G68690,#N/A
AT1G70450,#N/A
AT1G70460,#N/A
AT2G18470,#N/A
AT3G13690,#N/A
AT3G18810,#N/A
AT3G24400,#N/A
AT3G24540,#N/A
AT3G24550,#N/A
AT4G32710,#N/A
AT4G34440,#N/A
AT5G38560,#N/A
AT5G56790,#N/A
AT1G11050,#N/A
AT2G48010,#N/A
AT1G11300,#N/A
AT1G11330,#N/A
AT1G11340,#N/A
AT1G11350,#N/A
AT1G11410,#N/A
AT1G61610,#N/A
AT1G65790,#N/A
AT1G65800,#N/A
AT4G03230,#N/A
AT4G21370,#N/A
AT4G21380,#N/A
AT4G21390,#N/A
AT4G27290,#N/A
AT4G27300,#N/A
AT1G11280,#N/A
AT1G61360,#N/A
AT1G61370,#N/A
AT1G61380,#N/A
AT1G61390,#N/A
AT1G61400,#N/A
AT1G61420,#N/A
AT1G61430,#N/A
AT1G61440,#N/A
AT1G61460,#N/A
AT1G61480,#N/A
AT1G61490,#N/A
AT1G61500,#N/A
AT1G61550,#N/A
AT1G67520,#N/A
AT3G16030,#N/A
AT4G11900,#N/A
AT1G34300,#N/A
AT2G19130,#N/A
AT4G00340,#N/A
AT4G32300,#N/A
AT5G24080,#N/A
AT5G35370,#N/A
AT5G60900,#N/A
AT2G41890,#N/A
AT1G49730,#N/A
AT3G19300,#N/A
AT1G16110,#N/A
AT1G16120,#N/A
AT1G16130,#N/A
AT1G16140,#N/A
AT1G16150,#N/A
AT1G16160,#N/A
AT1G16260,#N/A
AT1G17910,#N/A
AT1G19390,#N/A
AT1G21210,#N/A
AT1G21230,#N/A
AT1G21240,#N/A
AT1G21250,#N/A
AT1G21270,#N/A
AT1G69730,#N/A
AT1G79670,#N/A
AT1G79680,#N/A
AT3G25490,#N/A
AT3G53840,#N/A
AT4G31100,#N/A
AT4G31110,#N/A
AT5G02070,#N/A
AT1G18390,#N/A
AT1G25390,#N/A
AT1G66880,#N/A
AT1G69910,#N/A
AT2G23450,#N/A
AT5G38210,#N/A
AT5G66790,#N/A
AT1G07390,#N/A
AT1G17240,#N/A
AT1G17250,#N/A
AT1G45616,#N/A
AT1G47890,#N/A
AT1G54470,#N/A
AT1G58190,#N/A
AT1G65380,#N/A
AT1G71390,#N/A
AT1G71400,#N/A
AT1G74170,#N/A
AT1G74180,#N/A
AT1G74190,#N/A
AT2G15080,#N/A
AT2G25440,#N/A
AT2G25470,#N/A
AT2G32660,#N/A
AT2G32680,#N/A
AT2G33020,#N/A
AT2G33050,#N/A
AT2G33060,#N/A
AT2G33080,#N/A
AT3G05360,#N/A
AT3G05370,#N/A
AT3G05650,#N/A
AT3G05660,#N/A
AT3G11010,#N/A
AT3G11080,#N/A
AT3G23010,#N/A
AT3G23110,#N/A
AT3G23120,#N/A
AT3G24900,#N/A
AT3G24982,#N/A
AT3G25010,#N/A
AT3G25020,#N/A
AT3G28890,#N/A
AT3G53240,#N/A
AT4G04220,#N/A
AT4G13810,#N/A
AT4G13880,#N/A
AT4G13920,#N/A
AT5G25910,#N/A
AT5G27060,#N/A
AT5G40170,#N/A
AT5G49290,#N/A
AT1G07650,0
AT1G10850,ARM1
AT1G11130,SUB/SCM/SRF9
AT1G28340,#N/A
AT1G34290,#N/A
AT1G51805,SIF3
AT1G56145,IGP1
AT1G80080,#N/A
AT2G41140,#N/A
AT2G42800,#N/A
AT3G49750,#N/A
AT4G13900,#N/A
AT4G18760,#N/A
AT4G23230,#N/A
AT5G65830,#N/A
532,220
