wt_0h,wt_2h,arm12qd-18_0h,arm12qd-18_2h,arm12qd-34_0h,arm12qd-34_2h,flg22_0h,flg22_2h
0.937354497,23.69756084,0.965936329,21.90720206,,,1.01395948,73.00887782
1.004631674,21.06340351,1.01395948,23.47955781,,,1.00695555,72.50456866
1.061913804,21.95787697,1.021012126,23.1563078,,,0.979420298,78.79324245
0.941696017,20.82146969,,,0.986232704,25.99207668,0.974904856,85.0358921
0.848703971,21.55573723,,,1,25.63423608,1.104454001,84.44850629
1.251218139,21.25897303,,,1.01395948,25.10669113,0.92873141,92.41146851
,,,,,,,
1.042465761,16.1112888,0.997692177,15.77972327,,,1.040059934,86.22294892
0.939522749,16.22335168,1.004631674,14.92852786,,,1.032875715,84.44850629
1.021012126,17.3877578,0.997692177,18.63573738,,,0.930879716,77.17170097
1.01161944,18.10943662,,,1.002313162,15.01850975,1.01161944,80.37471213
1.01865581,18.10943662,,,1.002313162,15.12297175,0.983956654,79.81952344
0.970410231,19.54421535,,,0.995389679,17.01422768,1.004631674,77.10057744
